"","group","LFC","n","Destination"
"1","OC-LC","Down",-1,"Control"
"2","OC-LC","Up",0,"Control"
"3","OC-RC","Down",-522,"Control"
"4","OC-RC","Up",169,"Control"
"5","LC-RC","Down",-437,"Control"
"6","LC-RC","Up",138,"Control"
"7","OO-LO","Up",2,"Ojo"
"8","OO-LO","Down",0,"Ojo"
"9","LO-RO","Down",-184,"Ojo"
"10","LO-RO","Up",174,"Ojo"
"11","OO-RO","Down",-515,"Ojo"
"12","OO-RO","Up",388,"Ojo"
"13","LO-LC","Up",0,"Ojo vs. Control"
"14","LO-LC","Down",0,"Ojo vs. Control"
"15","OO-OC","Down",-1,"Ojo vs. Control"
"16","OO-OC","Up",0,"Ojo vs. Control"
"17","RO-RC","Down",-471,"Ojo vs. Control"
"18","RO-RC","Up",180,"Ojo vs. Control"
