"","DEG","up.results_OO_LC_padj.1","down.results_OO_LC_padj.1"
"1","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01857"
"2","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04083"
"3","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04735"
"4","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05131"
"5","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05954"
"6","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08172"
"7","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10346"
"8","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12108"
"9","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig17190"
"10","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig02547",NA
"11","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig06100",NA
"12","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig10548",NA
"13","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig11395",NA
"14","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig12042",NA
"15","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig12125",NA
"16","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig12375",NA
"17","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig16303",NA
"18","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig16534",NA
"19","Up","Siderastrea_Mexico_Barshis-Radice_Host_contig19050",NA
