"","DEG","up.results_OC_LC_padj.1","down.results_OC_LC_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp173007_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp217202_c0_seq3_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp231994_c0_seq2_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp238832_c0_seq1_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp279026_c0_seq1_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp280001_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp284440_c0_seq1_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp299326_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp71993_c0_seq1_Symbiont"
"10","Down",NA,"Cladocopium_Davies_comp78661_c0_seq1_Symbiont"
"11","Up","Cladocopium_Davies_comp252450_c0_seq1_Symbiont",NA
"12","Up","Cladocopium_Davies_comp266383_c0_seq1_Symbiont",NA
"13","Up","Cladocopium_Davies_comp281456_c0_seq1_Symbiont",NA
